date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:00	16566/16566	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:23:40%20GMT	http://www.redpsy.com/letpsy/	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/letpsy/index.html	(from http://www.redpsy.com/index.php)
15:42:00	127328/127328	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202008%2011:01:48%20GMT	http://www.redpsy.com/infopsy/	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/infopsy/index.html	(from http://www.redpsy.com/index.php)
15:42:02	19487/19487	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:25:20%20GMT	http://www.redpsy.com/editions/sr.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/editions/sr.html	(from http://www.redpsy.com/index.php)
15:42:03	19929/19929	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202007%2007:13:12%20GMT	http://www.redpsy.com/guide/	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/guide/index.html	(from http://www.redpsy.com/index.php)
15:42:03	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Feb%202017%2014:42:01%20GMT	http://www.redpsy.com/letpsy	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/letpsy	(from http://www.redpsy.com/index.php)
15:42:04	7225/7225	---M--	200	added ('OK')	text/html	date:Wed,%2011%20May%202005%2023:59:52%20GMT	http://www.redpsy.com/outils/	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/outils/index.html	(from http://www.redpsy.com/index.php)
15:42:04	25290/25290	---M--	200	added ('OK')	text/html	date:Tue,%2024%20May%202005%2007:41:08%20GMT	http://www.redpsy.com/images/	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/images/index.html	(from http://www.redpsy.com/index.php)
15:42:04	238/238	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Feb%202017%2014:42:04%20GMT	http://www.redpsy.com/infopsy	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/infopsy	(from http://www.redpsy.com/index.php)
15:42:05	236/236	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Feb%202017%2014:42:04%20GMT	http://www.redpsy.com/guide	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/guide	(from http://www.redpsy.com/index.php)
15:42:05	26590/26590	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:25:23%20GMT	http://www.redpsy.com/editions/	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/editions/index.html	(from http://www.redpsy.com/index.php)
15:42:05	21839/21839	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:25:21%20GMT	http://www.redpsy.com/editions/puissance.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/editions/puissance.html	(from http://www.redpsy.com/index.php)
15:42:06	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Feb%202017%2014:42:06%20GMT	http://www.redpsy.com/outils	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/outils	(from http://www.redpsy.com/index.php)
15:42:06	23955/23955	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Aug%202016%2020:22:49%20GMT	http://infopsy.com/red/bandeau/transfertCDtu.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/infopsy.com/red/bandeau/transfertCDtu.jpg	(from http://www.redpsy.com/index.php)
15:42:06	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Feb%202017%2014:42:07%20GMT	http://www.redpsy.com/images	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/images	(from http://www.redpsy.com/index.php)
15:42:07	15392/15392	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:22:50%20GMT	http://www.redpsy.com/pro/stressec.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/pro/stressec.html	(from http://www.redpsy.com/index.php)
15:42:07	3715/3715	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:22:49%20GMT	http://www.redpsy.com/pro/	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/pro/index.html	(from http://www.redpsy.com/index.php)
15:42:07	22243/22243	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:22:50%20GMT	http://www.redpsy.com/pro/pad.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/pro/pad.html	(from http://www.redpsy.com/index.php)
15:42:09	37633/37633	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:25:20%20GMT	http://www.redpsy.com/editions/enfer.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/editions/enfer.html	(from http://www.redpsy.com/index.php)
15:42:10	14910/14910	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Jul%202004%2017:13:38%20GMT	http://www.infopsy.com/red/editions/defiatu.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/editions/defiatu.jpg	(from http://www.redpsy.com/index.php)
15:42:10	19253/19253	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:25:21%20GMT	http://www.redpsy.com/editions/emotions.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/editions/emotions.html	(from http://www.redpsy.com/index.php)
15:42:11	4542/4542	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jan%202003%2008:30:12%20GMT	http://www.infopsy.com/red/editions/enferF16.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/editions/enferF16.jpg	(from http://www.redpsy.com/index.php)
15:42:11	12091/12091	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:25:21%20GMT	http://www.redpsy.com/editions/ravage.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/editions/ravage.html	(from http://www.redpsy.com/index.php)
15:42:12	30637/30637	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:25:22%20GMT	http://www.redpsy.com/editions/ad.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/editions/ad.html	(from http://www.redpsy.com/index.php)
15:42:13	5343/5343	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jan%202003%2008:30:00%20GMT	http://www.infopsy.com/red/editions/emotionstu.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/editions/emotionstu.jpg	(from http://www.redpsy.com/index.php)
15:42:13	4396/4396	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202003%2022:43:06%20GMT	http://www.infopsy.com/red/RAVA1t.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/RAVA1t.jpg	(from http://www.redpsy.com/index.php)
15:42:13	4711/4711	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jan%202003%2008:29:46%20GMT	http://www.infopsy.com/red/editions/autodtu.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/editions/autodtu.jpg	(from http://www.redpsy.com/index.php)
15:42:13	16603/16603	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202003%2022:44:10%20GMT	http://www.infopsy.com/red/bandeau/PUISS1tu.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/bandeau/PUISS1tu.jpg	(from http://www.redpsy.com/index.php)
15:42:13	11305/11305	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:25:21%20GMT	http://www.redpsy.com/editions/stress.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/editions/stress.html	(from http://www.redpsy.com/index.php)
15:42:14	5995/5995	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jan%202003%2008:30:26%20GMT	http://www.infopsy.com/red/editions/rs2tu.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/editions/rs2tu.jpg	(from http://www.redpsy.com/index.php)
15:42:14	1887/1887	---M--	200	added ('OK')	image/gif	date:Sat,%2023%20Aug%202003%2017:56:50%20GMT	http://infopsy.com/coffragants/coffragants12.GIF	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/infopsy.com/coffragants/coffragants12.gif	(from http://www.redpsy.com/index.php)
15:42:15	10931/10931	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:25:21%20GMT	http://www.redpsy.com/editions/jalousie.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/editions/jalousie.html	(from http://www.redpsy.com/index.php)
15:42:15	10345/10345	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:25:20%20GMT	http://www.redpsy.com/editions/victime.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/editions/victime.html	(from http://www.redpsy.com/index.php)
15:42:16	13577/13577	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Mar%202004%2022:46:20%20GMT	http://infopsy.com/red/editions/CDstress3a.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/infopsy.com/red/editions/CDstress3a.jpg	(from http://www.redpsy.com/index.php)
15:42:17	10949/10949	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:25:22%20GMT	http://www.redpsy.com/editions/burn.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/editions/burn.html	(from http://www.redpsy.com/index.php)
15:42:18	15694/15694	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Jan%202004%2022:10:34%20GMT	http://infopsy.com/red/editions/jal3a.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/infopsy.com/red/editions/jal3a.jpg	(from http://www.redpsy.com/index.php)
15:42:18	10596/10596	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:25:22%20GMT	http://www.redpsy.com/editions/conf.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/editions/conf.html	(from http://www.redpsy.com/index.php)
15:42:19	19142/19142	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Oct%202003%2018:52:48%20GMT	http://infopsy.com/red/editions/vict3a.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/infopsy.com/red/editions/vict3a.jpg	(from http://www.redpsy.com/index.php)
15:42:19	1403/1403	---M--	200	added ('OK')	image/gif	date:Tue,%2013%20May%202003%2021:11:52%20GMT	http://infopsy.com/pocketaudio/pkau3.gif	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/infopsy.com/pocketaudio/pkau3.gif	(from http://www.redpsy.com/index.php)
15:42:20	10914/10914	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:25:22%20GMT	http://www.redpsy.com/editions/anx.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/editions/anx.html	(from http://www.redpsy.com/index.php)
15:42:21	16135/16135	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Jun%202003%2018:40:00%20GMT	http://www.infopsy.com/red/editions/CDCONF2a.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/editions/CDCONF2a.jpg	(from http://www.redpsy.com/index.php)
15:42:22	249/249	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:21:08%20GMT	http://www.redpsy.com/index.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/index-3.html	(from http://www.redpsy.com/index.php)
15:42:22	997/997	---M--	200	added ('OK')	image/gif	date:Fri,%2003%20Jan%202003%2022:42:08%20GMT	http://www.infopsy.com/red/redlogoc.gif	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/redlogoc.gif	(from http://www.redpsy.com/index.php)
15:42:23	514/514	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Jun%202005%2007:49:52%20GMT	http://infopsy.com/red/purp.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/infopsy.com/red/purp.jpg	(from http://www.redpsy.com/plan.html)
15:42:23	34018/34018	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Sep%202003%2023:17:32%20GMT	http://www.infopsy.com/red/editions/CDBURN2a.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/editions/CDBURN2a.jpg	(from http://www.redpsy.com/index.php)
15:42:24	275/275	---M--	200	added ('OK')	image/gif	date:Fri,%2003%20Jan%202003%2022:42:04%20GMT	http://www.infopsy.com/red/prbl.gif	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/prbl.gif	(from http://www.redpsy.com/plan.html)
15:42:24	5524/5524	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202003%2022:44:56%20GMT	http://www.infopsy.com/red/bandeau/logo/infpsylogo.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/bandeau/logo/infpsylogo.jpg	(from http://www.redpsy.com/plan.html)
15:42:25	21188/21188	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:21:10%20GMT	http://www.redpsy.com/temoigrs.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/temoigrs.html	(from http://www.redpsy.com/plan.html)
15:42:25	1455/1455	---M--	200	added ('OK')	image/gif	date:Sat,%2023%20Mar%202002%2022:37:34%20GMT	http://www.redpsy.com/1mup.gif	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/1mup.gif	(from http://www.redpsy.com/plan.html)
15:42:26	275/275	---M--	200	added ('OK')	image/gif	date:Sat,%2023%20Mar%202002%2022:37:20%20GMT	http://www.redpsy.com/prbl.gif	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/prbl.gif	(from http://www.redpsy.com/planred.html)
15:42:26	8257/8257	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202003%2022:44:48%20GMT	http://infopsy.com/red/bandeau/logo/consulogo.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/infopsy.com/red/bandeau/logo/consulogo.jpg	(from http://www.redpsy.com/planred.html)
15:42:26	83373/83373	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202003%2022:43:34%20GMT	http://www.infopsy.com/red/RS2C.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/RS2C.jpg	(from http://www.redpsy.com/index.php)
15:42:27	51815/51815	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20May%202003%2000:47:02%20GMT	http://www.infopsy.com/red/editions/CDANG2a.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/editions/CDANG2a.jpg	(from http://www.redpsy.com/index.php)
15:42:27	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Feb%202017%2014:42:27%20GMT	http://www.redpsy.com/letpsy	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/letpsy	(from http://www.redpsy.com/planred.html)
15:42:27	236/236	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Feb%202017%2014:42:27%20GMT	http://www.redpsy.com/guide	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/guide	(from http://www.redpsy.com/planred.html)
15:42:27	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Feb%202017%2014:42:27%20GMT	http://www.redpsy.com/outils	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/outils	(from http://www.redpsy.com/planred.html)
15:42:28	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Feb%202017%2014:42:28%20GMT	http://www.redpsy.com/images	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/images	(from http://www.redpsy.com/planred.html)
15:42:28	25182/25182	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:21:08%20GMT	http://www.redpsy.com/nouveau.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/nouveau.html	(from http://www.redpsy.com/planred.html)
15:42:28	24252/24252	---M--	200	added ('OK')	text/html	date:Thu,%2013%20Sep%202012%2017:19:03%20GMT	http://www.redpsy.com/calendrier.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/calendrier.html	(from http://www.redpsy.com/planred.html)
15:42:29	3715/3715	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:22:49%20GMT	http://www.redpsy.com/pro/index.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/pro/index-2.html	(from http://www.redpsy.com/planred.html)
15:42:30	1438/1438	---M--	200	added ('OK')	image/gif	date:Fri,%2003%20Jan%202003%2022:41:24%20GMT	http://infopsy.com/red/1mgauche.gif	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/infopsy.com/red/1mgauche.gif	(from http://www.redpsy.com/planred.html)
15:42:30	7109/7109	---M--	200	added ('OK')	application/javascript	date:Fri,%2023%20May%202003%2021:12:26%20GMT	http://www.redpsy.com/xaramenu.js	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/xaramenu.js	(from http://www.redpsy.com/recherche.html)
15:42:30	12889/12889	---M--	200	added ('OK')	application/javascript	date:Fri,%2005%20Jun%202015%2022:11:19%20GMT	http://www.redpsy.com/red.js	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/red.js	(from http://www.redpsy.com/recherche.html)
15:42:30	1607/1607	---M--	200	added ('OK')	image/gif	date:Thu,%2008%20Dec%202016%2001:00:57%20GMT	http://www.google.com/logos/Logo_25wht.gif	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.google.com/logos/Logo_25wht.gif	(from http://www.redpsy.com/recherche.html)
15:42:31	6280/6280	---M--	200	added ('OK')	image/gif	date:Fri,%2003%20Jan%202003%2022:41:44%20GMT	http://www.infopsy.com/red/idee-ico.gif	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/idee-ico.gif	(from http://www.redpsy.com/recherche.html)
15:42:31	7163/7163	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202003%2022:45:02%20GMT	http://www.infopsy.com/red/bandeau/logo/redinclogo.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/bandeau/logo/redinclogo.jpg	(from http://www.redpsy.com/red.html)
15:42:31	239/239	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Feb%202017%2014:42:31%20GMT	http://www.redpsy.com/editions	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/editions	(from http://www.redpsy.com/red.html)
15:42:32	1455/1455	---M--	200	added ('OK')	image/gif	date:Fri,%2003%20Jan%202003%2022:41:28%20GMT	http://www.infopsy.com/red/1mup.gif	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/1mup.gif	(from http://www.redpsy.com/red.html)
15:42:32	30046/30046	---M--	200	added ('OK')	text/html	date:Fri,%2027%20May%202005%2011:47:16%20GMT	http://www.redpsy.com/infopsy/autodev.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/infopsy/autodev.html	(from http://www.redpsy.com/red.html)
15:42:32	30357/30357	---M--	200	added ('OK')	text/html	date:Fri,%2027%20May%202005%2011:46:28%20GMT	http://www.redpsy.com/infopsy/autodeveloppement.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/infopsy/autodeveloppement.html	(from http://www.redpsy.com/red.html)
15:42:34	338/338	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Oct%202004%2000:42:28%20GMT	http://www.redpsy.com/livre.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/livre.html	(from http://www.redpsy.com/red.html)
15:42:34	7356/7356	---M--	200	added ('OK')	text/html	date:Tue,%2024%20May%202005%2007:40:36%20GMT	http://www.redpsy.com/infopsy/processus.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/infopsy/processus.html	(from http://www.redpsy.com/red.html)
15:42:34	33852/33852	---M--	200	added ('OK')	text/html	date:Sat,%2004%20Jun%202005%2007:33:48%20GMT	http://www.redpsy.com/infopsy/noeuds.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/infopsy/noeuds.html	(from http://www.redpsy.com/red.html)
15:42:34	19327/19327	---M--	200	added ('OK')	text/html	date:Sat,%2014%20May%202011%2022:18:25%20GMT	http://www.redpsy.com/mlarivey.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/mlarivey.html	(from http://www.redpsy.com/red.html)
